Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,
15026,Fine Particulate Matter,2013-03-31,8,7,8,9,10,12,12,15,11,9,12,17,23,30,26,31,29,23,29,34,30,17,15,13,
15026,Fine Particulate Matter,2013-04-01,14,9,3,2,2,1,1,1,1,1,1,0,1,1,1,1,2,2,2,1,1,1,1,1,
15026,Fine Particulate Matter,2013-04-02,1,1,1,1,1,1,2,2,2,2,2,3,4,4,3,3,4,5,6,7,8,8,8,6,
15026,Fine Particulate Matter,2013-04-03,3,3,3,3,3,3,4,4,5,5,5,4,4,3,5,6,5,5,6,8,10,16,14,16,
15026,Fine Particulate Matter,2013-04-04,9,7,7,6,7,11,12,8,6,4,4,4,5,5,5,4,7,6,10,13,15,14,15,17,
15026,Fine Particulate Matter,2013-04-05,19,38,37,34,36,34,30,19,7,3,3,3,3,3,2,2,1,2,2,4,5,5,6,5,
15026,Fine Particulate Matter,2013-04-06,6,6,11,9,8,10,11,9,4,2,2,3,4,3,4,4,4,5,5,5,4,5,6,7,
15026,Fine Particulate Matter,2013-04-07,7,9,12,13,9,9,11,12,12,15,15,16,20,18,22,21,17,11,9,8,7,7,6,6,
15026,Fine Particulate Matter,2013-04-08,6,6,8,11,11,13,15,12,7,8,9,9,9,12,14,19,19,20,18,20,21,19,22,24,
15026,Fine Particulate Matter,2013-04-09,14,10,12,7,5,5,4,5,9,8,7,6,7,4,4,7,8,9,8,10,10,11,11,13,
15026,Fine Particulate Matter,2013-04-10,9,7,10,12,10,11,21,16,9,7,6,6,9,7,6,4,6,5,3,5,6,8,6,4,
15026,Fine Particulate Matter,2013-04-11,4,5,5,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,9,10,9,9,8,
15026,Fine Particulate Matter,2013-04-12,9,14,8,10,8,5,4,3,2,1,3,5,7,9,8,7,13,12,12,8,8,9,11,11,
